"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"GHA","BB:16203","EAR_EMTA_SEX_OCU_NB","SEX_F","OCU_ISCO08_8","2022",849.938,,,"T30:20","R1:3513"
"GHA","BB:16203","EAR_EMTA_SEX_OCU_NB","SEX_F","OCU_ISCO08_9","2022",806.177,,,"T30:20","R1:3513"
"GHA","BB:16203","EAR_EMTA_SEX_OCU_NB","SEX_F","OCU_ISCO08_0","2022",,"U",,"T30:20","R1:3513"
"GHA","BB:3078","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_SKILL_TOTAL","2017",849.39,"B",,"T30:20_I11:264","R1:3513"
"GHA","BB:3078","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_SKILL_L3-4","2017",1192.008,"B",,"T30:20_I11:264","R1:3513"
"GHA","BB:3078","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_SKILL_L2","2017",732.09,"B",,"T30:20_I11:264","R1:3513"
"GHA","BB:3078","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_SKILL_L1","2017",468.706,"B",,"T30:20_I11:264","R1:3513"
"GHA","BB:3078","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_SKILL_X","2017",2374.822,"U",,"T30:20_I11:264","R1:3513"
"GHA","BB:3078","EAR_EMTA_SEX_OCU_NB","SEX_M","OCU_SKILL_TOTAL","2017",954.579,"B",,"T30:20_I11:264","R1:3513"
"GHA","BB:3078","EAR_EMTA_SEX_OCU_NB","SEX_M","OCU_SKILL_L3-4","2017",1317.612,"B",,"T30:20_I11:264","R1:3513"
"GHA","BB:3078","EAR_EMTA_SEX_OCU_NB","SEX_M","OCU_SKILL_L2","2017",839.671,"B",,"T30:20_I11:264","R1:3513"
"GHA","BB:3078","EAR_EMTA_SEX_OCU_NB","SEX_M","OCU_SKILL_L1","2017",589.429,"B",,"T30:20_I11:264","R1:3513"
"GHA","BB:3078","EAR_EMTA_SEX_OCU_NB","SEX_M","OCU_SKILL_X","2017",2374.822,"U",,"T30:20_I11:264","R1:3513"
